Price,Close,High,Low,Open,Volume
Ticker,URA,URA,URA,URA,URA
Date,,,,,
2010-11-05,66.73946380615234,66.85580240390414,64.29635818442905,66.85580240390414,48233
2010-11-08,74.18511199951172,74.18511199951172,67.16602879545253,67.67016102595451,255017
2010-11-09,71.74201965332031,77.24870223542025,70.96643222408863,75.07705644735864,334967
2010-11-10,72.86663055419922,73.09930779360693,69.80305347675116,72.36249817917088,121967
2010-11-11,73.48710632324219,73.75856640756417,71.81959257390537,73.68100567903426,111767
2010-11-12,70.34595489501953,72.09103397096081,68.60088075014276,71.89713465216806,59017
2010-11-15,69.22134399414062,72.82783542026986,68.87232821763806,72.82783542026986,26150
2010-11-16,64.10247039794922,67.86407915985274,63.171761448673266,67.86407915985274,124267
2010-11-17,65.76997375488281,65.76997375488281,63.59832332917461,64.45147135848399,46500
2010-11-18,68.56210327148438,69.0662355861025,68.05797095686626,68.40698184309069,43250
2010-11-19,68.7560043334961,69.02746439399934,66.93336928702298,68.5233270993876,24483
2010-11-22,68.91111755371094,69.41524985709903,67.86407012516801,69.41524985709903,23150
2010-11-23,68.48454284667969,68.5233207384097,66.89458518190986,68.09674913618588,32500
2010-11-24,72.01345825195312,72.28491329684891,69.76425226415445,69.76425226415445,95683
2010-11-26,74.76681518554688,75.1546088828833,73.0217410820008,73.79732847667364,91083
2010-11-29,75.15460968017578,75.61996409434204,73.33197484540088,75.61996409434204,76417
2010-11-30,74.80560302734375,75.58119545625797,74.10757625170552,74.99950236733856,79983
2010-12-01,77.36504364013672,77.79162019338276,75.61996939573793,76.39555685301188,67683
2010-12-02,77.71406555175781,78.60599662153498,77.48138831016944,77.86918700019352,98817
2010-12-03,77.59772491455078,78.41209523894831,77.05481465232914,78.41209523894831,39333
2010-12-06,78.14064025878906,78.29575677242848,77.1323705924703,77.8304023004452,63850
2010-12-07,78.29573822021484,80.42861073439795,77.86916667601656,80.42861073439795,106283
2010-12-08,76.00774383544922,78.41207124632909,75.81384948586881,78.41207124632909,77400
2010-12-09,76.78336334228516,77.55895087864549,76.00777087485952,76.20167022448226,43883
2010-12-10,76.82212829589844,77.01602761285075,74.80559413763926,77.01602761285075,38017
2010-12-13,76.97724914550781,78.17941314406521,76.78335474865115,78.10185242668369,34067
2010-12-14,75.69752502441406,77.71405425017215,75.23217060891159,77.71405425017215,34667
2010-12-15,74.57292175292969,76.27921810063741,74.49536596598419,75.9689850907259,27533
2010-12-16,75.6199722290039,76.16288248322402,74.99950125372449,75.2321784858374,24150
2010-12-17,75.96898651123047,76.35678024640342,74.80560037464674,76.35678024640342,30517
2010-12-20,76.89968872070312,77.09358310586434,76.20165709956807,76.58945080095495,28000
2010-12-21,77.171142578125,77.36503696016958,76.78334888297148,77.09358186666854,45133
2010-12-22,77.09358215332031,77.75283587549049,77.05480426298008,77.55893656166059,22800
2010-12-23,77.09358215332031,77.52015867132036,76.66701056638466,77.52015867132036,17650
2010-12-27,76.86090087890625,76.89968369825708,76.35676860692257,76.78334510233283,9650
